縣市,南一,康軒,翰林,南一,康軒,翰林
南投縣,24,40,40,0.23076923076923078,0.38461538461538464,0.38461538461538464
嘉義市,3,13,3,0.15789473684210525,0.6842105263157895,0.15789473684210525
嘉義縣,20,29,22,0.28169014084507044,0.4084507042253521,0.30985915492957744
基隆市,3,28,18,0.061224489795918366,0.5714285714285714,0.3673469387755102
宜蘭縣,3,44,22,0.043478260869565216,0.6376811594202898,0.3188405797101449
屏東縣,22,69,30,0.18181818181818182,0.5702479338842975,0.24793388429752067
彰化縣,30,58,37,0.24,0.464,0.296
新北市,38,152,64,0.14960629921259844,0.5984251968503937,0.25196850393700787
新竹市,8,26,11,0.17777777777777778,0.5777777777777777,0.24444444444444444
新竹縣,16,35,36,0.1839080459770115,0.40229885057471265,0.41379310344827586
桃園市,30,112,57,0.1507537688442211,0.5628140703517588,0.2864321608040201
澎湖縣,12,24,6,0.2857142857142857,0.5714285714285714,0.14285714285714285
臺中市,48,155,66,0.17843866171003717,0.5762081784386617,0.24535315985130113
臺北市,39,125,70,0.16666666666666666,0.5341880341880342,0.29914529914529914
臺南市,37,136,45,0.16972477064220184,0.6238532110091743,0.20642201834862386
臺東縣,11,36,25,0.1527777777777778,0.5,0.3472222222222222
花蓮縣,2,33,9,0.045454545454545456,0.75,0.20454545454545456
苗栗縣,34,54,18,0.32075471698113206,0.5094339622641509,0.16981132075471697
連江縣,0,13,2,0.0,0.8666666666666667,0.13333333333333333
金門縣,2,10,2,0.14285714285714285,0.7142857142857143,0.14285714285714285
雲林縣,33,47,31,0.2972972972972973,0.42342342342342343,0.27927927927927926
高雄市,62,123,51,0.2627118644067797,0.5211864406779662,0.21610169491525424
